,Date_of_prediction,brand,Actual+1,Forecasted+1,Actual+2,Forecasted+2,Actual+3,Forecasted+3,Actual+4,Forecasted+4,Actual+5,Forecasted+5,Actual+6,Forecasted+6
45,2024-10-14,BingeTown,9.0,16,-2.0,18,-8.0,14,-1.0,4,3.0,17,-9.0,5
45,2024-10-14,others,19.0,9,15.0,40,18.0,29,21.0,20,49.0,13,28.0,45
46,2024-10-15,BingeTown,-15.0,-18,2.0,-14,5.0,-4,-15.0,-17,11.0,-5,0.0,-11
46,2024-10-15,others,32.0,40,26.0,29,27.0,20,59.0,13,25.0,45,17.0,21
47,2024-10-16,BingeTown,-6.0,-14,-2.0,-4,3.0,-17,5.0,-5,0.0,-11,-5.0,-11
47,2024-10-16,others,19.0,29,24.0,20,45.0,13,27.0,45,17.0,21,19.0,58
48,2024-10-17,BingeTown,2.0,4,-1.0,17,-3.0,5,5.0,11,0.0,11,-1.0,4
48,2024-10-17,others,24.0,20,47.0,13,31.0,45,19.0,21,17.0,58,25.0,78
49,2024-10-18,BingeTown,13.0,17,0.0,5,12.0,11,13.0,11,1.0,4,7.0,11
49,2024-10-18,others,50.0,13,30.0,45,19.0,21,23.0,58,14.0,78,25.0,26
50,2024-10-19,BingeTown,7.0,5,17.0,11,10.0,11,6.0,4,10.0,11,9.0,8
50,2024-10-19,others,41.0,45,22.0,21,18.0,58,16.0,78,32.0,26,35.0,34
51,2024-10-20,BingeTown,-21.0,-11,-8.0,-11,-17.0,-4,-11.0,-11,-8.0,-8,-10.0,1
51,2024-10-20,others,22.0,21,22.0,58,27.0,78,37.0,26,30.0,34,45.0,10
52,2024-10-21,BingeTown,9.0,11,15.0,4,5.0,11,13.0,8,2.0,-1,9.0,-23
52,2024-10-21,others,25.0,58,31.0,78,24.0,26,22.0,34,42.0,10,25.0,65
53,2024-10-22,BingeTown,-18.0,-4,-9.0,-11,-8.0,-8,-3.0,1,-6.0,23,-4.0,-3
53,2024-10-22,others,31.0,78,33.0,26,29.0,34,46.0,10,33.0,65,19.0,35
54,2024-10-23,BingeTown,-12.0,-11,-10.0,-8,-4.0,1,-9.0,23,-4.0,-3,-4.0,-3
54,2024-10-23,others,-61.0,-26,-55.0,-34,-52.0,-10,-44.0,-65,-47.0,-35,-48.0,-29
