7_days,14_days,21_days,28_days,nth_day,week_day,target
34.0,33.0,33.0,33.0,1,4,38
53.0,52.0,51.0,52.0,2,5,53
53.0,52.0,50.0,51.0,3,6,59
54.0,53.0,50.0,52.0,4,0,57
34.0,32.0,29.0,30.0,5,1,56
60.0,59.0,53.0,56.0,6,2,57
47.0,41.0,37.0,40.0,7,3,57
52.0,51.0,51.0,51.0,1,5,53
58.0,56.0,55.0,55.0,2,6,59
57.0,54.0,51.0,52.0,3,0,57
43.0,41.0,38.0,40.0,4,1,56
58.0,54.0,48.0,50.0,5,2,57
50.0,45.0,40.0,42.0,6,3,57
32.0,28.0,24.0,26.0,7,4,54
60.0,60.0,59.0,59.0,1,6,59
60.0,59.0,57.0,57.0,2,0,57
47.0,45.0,42.0,43.0,3,1,56
56.0,54.0,49.0,51.0,4,2,57
60.0,59.0,51.0,53.0,5,3,57
34.0,33.0,29.0,30.0,6,4,54
35.0,33.0,28.0,30.0,7,5,53
59.0,58.0,57.0,57.0,1,0,57
58.0,55.0,53.0,53.0,2,1,56
58.0,53.0,50.0,50.0,3,2,57
60.0,56.0,51.0,52.0,4,3,57
45.0,40.0,35.0,35.0,5,4,54
37.0,33.0,29.0,29.0,6,5,53
60.0,60.0,58.0,59.0,7,6,60
58.0,57.0,56.0,56.0,1,1,56
60.0,60.0,60.0,60.0,2,2,57
60.0,57.0,53.0,53.0,3,3,57
41.0,39.0,36.0,36.0,4,4,54
31.0,29.0,25.0,25.0,5,5,53
60.0,60.0,60.0,60.0,6,6,60
60.0,60.0,60.0,60.0,7,0,58
59.0,59.0,58.0,58.0,1,2,57
60.0,58.0,57.0,57.0,2,3,57
51.0,45.0,43.0,42.0,3,4,54
39.0,36.0,33.0,33.0,4,5,53
60.0,60.0,60.0,60.0,5,6,60
60.0,60.0,60.0,60.0,6,0,58
55.0,51.0,43.0,42.0,7,1,54
59.0,58.0,58.0,58.0,1,3,57
52.0,51.0,50.0,49.0,2,4,54
42.0,38.0,37.0,36.0,3,5,53
60.0,60.0,60.0,60.0,4,6,60
60.0,60.0,60.0,60.0,5,0,58
57.0,52.0,47.0,44.0,6,1,54
16.0,16.0,13.0,13.0,7,2,50
55.0,55.0,55.0,55.0,1,4,54
41.0,41.0,41.0,40.0,2,5,53
60.0,60.0,60.0,60.0,3,6,60
60.0,60.0,60.0,60.0,4,0,58
60.0,60.0,58.0,52.0,5,1,54
19.0,18.0,17.0,15.0,6,2,50
48.0,46.0,42.0,37.0,7,3,47
52.0,53.0,53.0,53.0,1,5,53
60.0,60.0,60.0,60.0,2,6,60
60.0,60.0,60.0,60.0,3,0,58
60.0,60.0,57.0,53.0,4,1,54
27.0,26.0,24.0,22.0,5,2,50
48.0,45.0,42.0,37.0,6,3,47
59.0,56.0,50.0,44.0,7,4,55
60.0,60.0,60.0,60.0,1,6,60
60.0,60.0,60.0,60.0,2,0,58
60.0,60.0,60.0,60.0,3,1,54
27.0,25.0,24.0,22.0,4,2,50
48.0,44.0,41.0,36.0,5,3,47
60.0,56.0,53.0,45.0,6,4,55
60.0,60.0,60.0,60.0,7,5,58
57.0,58.0,58.0,58.0,1,0,58
58.0,60.0,58.0,57.0,2,1,54
27.0,27.0,25.0,24.0,3,2,50
44.0,43.0,41.0,38.0,4,3,47
53.0,53.0,50.0,44.0,5,4,55
60.0,60.0,60.0,60.0,6,5,58
60.0,60.0,58.0,51.0,7,6,59
54.0,55.0,55.0,55.0,1,1,54
35.0,36.0,36.0,35.0,2,2,50
43.0,45.0,43.0,40.0,3,3,47
48.0,49.0,48.0,44.0,4,4,55
60.0,60.0,60.0,59.0,5,5,58
60.0,60.0,57.0,52.0,6,6,59
60.0,60.0,60.0,60.0,7,0,60
49.0,50.0,50.0,50.0,1,2,50
47.0,49.0,48.0,47.0,2,3,47
45.0,48.0,46.0,45.0,3,4,55
56.0,59.0,57.0,54.0,4,5,58
54.0,59.0,56.0,52.0,5,6,59
60.0,60.0,60.0,60.0,6,0,60
16.0,16.0,16.0,14.0,7,1,48
47.0,48.0,48.0,48.0,1,3,47
53.0,53.0,52.0,52.0,2,4,55
