,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
11,2024-09-02,others,68.0,69.0,61,26.0,59.0,71,20.0,64.0,74,18.0,76.0,101,17.0,74.0,59,15.0,48,69.0,61,26.0,59.0,71,20.0,64.0,74,18.0,76.0,101,17.0,74.0,59,15.0,30.0,69.0,61,26.0,59.0,71,20.0,64.0,74,18.0,76.0,101,17.0,74.0,59,15.0,15.0
11,2024-09-02,BingeNBash,37.0,34.0,38,19.0,33.0,33,13.0,32.0,35,12.0,43.0,33,12.0,40.0,43,10.0,31,34.0,38,19.0,33.0,33,13.0,32.0,35,12.0,43.0,33,12.0,40.0,43,10.0,21.0,34.0,38,19.0,33.0,33,13.0,32.0,35,12.0,43.0,33,12.0,40.0,43,10.0,4.333333333333333
11,2024-09-02,BingeTown,43.0,41.0,43,18.0,36.0,37,15.0,39.0,39,15.0,39.0,39,10.0,42.0,41,11.0,38,41.0,43,18.0,36.0,37,15.0,39.0,39,15.0,39.0,39,10.0,42.0,41,11.0,21.0,41.0,43,18.0,36.0,37,15.0,39.0,39,15.0,39.0,39,10.0,42.0,41,11.0,1.5
12,2024-09-03,BingeNBash,37.0,28.0,33,12.0,36.0,35,15.0,38.0,33,13.0,32.0,43,10.0,29.0,19,6.0,38,28.0,33,12.0,36.0,35,15.0,38.0,33,13.0,32.0,43,10.0,29.0,19,6.0,24.0,28.0,33,12.0,36.0,35,15.0,38.0,33,13.0,32.0,43,10.0,29.0,19,6.0,5.5
12,2024-09-03,BingeTown,42.0,34.0,37,18.0,45.0,39,17.0,35.0,39,13.0,48.0,41,15.0,37.0,39,11.0,43,34.0,37,18.0,45.0,39,17.0,35.0,39,13.0,48.0,41,15.0,37.0,39,11.0,27.0,34.0,37,18.0,45.0,39,17.0,35.0,39,13.0,48.0,41,15.0,37.0,39,11.0,3.8333333333333335
12,2024-09-03,others,77.0,58.0,71,27.0,62.0,74,23.0,73.0,101,24.0,81.0,59,19.0,82.0,70,14.0,61,58.0,71,27.0,62.0,74,23.0,73.0,101,24.0,81.0,59,19.0,82.0,70,14.0,38.0,58.0,71,27.0,62.0,74,23.0,73.0,101,24.0,81.0,59,19.0,82.0,70,14.0,17.166666666666668
13,2024-09-04,BingeNBash,33.0,36.0,35,20.0,42.0,33,15.0,41.0,43,13.0,32.0,19,8.0,43.0,31,11.0,33,36.0,35,20.0,42.0,33,15.0,41.0,43,13.0,32.0,19,8.0,43.0,31,11.0,20.0,36.0,35,20.0,42.0,33,15.0,41.0,43,13.0,32.0,19,8.0,43.0,31,11.0,6.166666666666667
13,2024-09-04,BingeTown,40.0,43.0,39,22.0,46.0,39,18.0,46.0,41,17.0,38.0,39,13.0,41.0,35,10.0,37,43.0,39,22.0,46.0,39,18.0,46.0,41,17.0,38.0,39,13.0,41.0,35,10.0,24.0,43.0,39,22.0,46.0,39,18.0,46.0,41,17.0,38.0,39,13.0,41.0,35,10.0,4.333333333333333
13,2024-09-04,others,63.0,64.0,74,26.0,79.0,101,25.0,82.0,59,16.0,82.0,70,14.0,80.0,78,13.0,71,64.0,74,26.0,79.0,101,25.0,82.0,59,16.0,82.0,70,14.0,80.0,78,13.0,43.0,64.0,74,26.0,79.0,101,25.0,82.0,59,16.0,82.0,70,14.0,80.0,78,13.0,12.833333333333334
14,2024-09-05,BingeTown,46.0,50.0,39,23.0,51.0,41,22.0,43.0,39,16.0,45.0,35,14.0,39.0,34,9.0,39,50.0,39,23.0,51.0,41,22.0,43.0,39,16.0,45.0,35,14.0,39.0,34,9.0,30.0,50.0,39,23.0,51.0,41,22.0,43.0,39,16.0,45.0,35,14.0,39.0,34,9.0,7.833333333333333
14,2024-09-05,others,92.0,104.0,101,60.0,105.0,59,63.0,99.0,70,53.0,97.0,78,53.0,92.0,56,37.0,74,104.0,101,60.0,105.0,59,63.0,99.0,70,53.0,97.0,78,53.0,92.0,56,37.0,75.0,104.0,101,60.0,105.0,59,63.0,99.0,70,53.0,97.0,78,53.0,92.0,56,37.0,25.166666666666668
