,Date_of_prediction,brand,Actual+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Forecasted+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Slots_Booked+1,day+2,day+2,day+2,day+3,day+3,day+3,day+4,day+4,day+4,day+5,day+5,day+5,day+6,day+6,day+6,Error
46,2024-10-15,BingeTown,36.0,29.0,35,18.0,32.0,39,19.0,43.0,47,17.0,31.0,41,12.0,29.0,40,14.0,38,29.0,35,18.0,32.0,39,19.0,43.0,47,17.0,31.0,41,12.0,29.0,40,14.0,31.0,29.0,35,18.0,32.0,39,19.0,43.0,47,17.0,31.0,41,12.0,29.0,40,14.0,6.666666666666667
47,2024-10-16,others,52.0,61.0,55,29.0,83.0,43,21.0,66.0,81,15.0,45.0,50,4.0,47.0,80,8.0,50,61.0,55,29.0,83.0,43,21.0,66.0,81,15.0,45.0,50,4.0,47.0,80,8.0,22.0,61.0,55,29.0,83.0,43,21.0,66.0,81,15.0,45.0,50,4.0,47.0,80,8.0,16.833333333333332
47,2024-10-16,BingeNBash,31.0,36.0,35,23.0,40.0,30,18.0,37.0,36,16.0,28.0,29,7.0,28.0,22,5.0,21,36.0,35,23.0,40.0,30,18.0,37.0,36,16.0,28.0,29,7.0,28.0,22,5.0,12.0,36.0,35,23.0,40.0,30,18.0,37.0,36,16.0,28.0,29,7.0,28.0,22,5.0,4.833333333333333
47,2024-10-16,BingeTown,37.0,39.0,39,22.0,39.0,47,20.0,35.0,41,15.0,27.0,40,16.0,32.0,33,11.0,35,39.0,39,22.0,39.0,47,20.0,35.0,41,15.0,27.0,40,16.0,32.0,33,11.0,24.0,39.0,39,22.0,39.0,47,20.0,35.0,41,15.0,27.0,40,16.0,32.0,33,11.0,5.0
48,2024-10-17,others,60.0,84.0,43,27.0,68.0,81,20.0,44.0,50,7.0,47.0,80,11.0,58.0,107,15.0,55,84.0,43,27.0,68.0,81,20.0,44.0,50,7.0,47.0,80,11.0,58.0,107,15.0,45.0,84.0,43,27.0,68.0,81,20.0,44.0,50,7.0,47.0,80,11.0,58.0,107,15.0,24.5
48,2024-10-17,BingeTown,37.0,36.0,47,25.0,34.0,41,17.0,34.0,40,19.0,29.0,33,11.0,31.0,33,10.0,39,36.0,47,25.0,34.0,41,17.0,34.0,40,19.0,29.0,33,11.0,31.0,33,10.0,26.0,36.0,47,25.0,34.0,41,17.0,34.0,40,19.0,29.0,33,11.0,31.0,33,10.0,5.333333333333333
48,2024-10-17,BingeNBash,34.0,39.0,30,22.0,37.0,36,18.0,27.0,29,10.0,29.0,22,6.0,33.0,29,6.0,35,39.0,30,22.0,37.0,36,18.0,27.0,29,10.0,29.0,22,6.0,33.0,29,6.0,26.0,39.0,30,22.0,37.0,36,18.0,27.0,29,10.0,29.0,22,6.0,33.0,29,6.0,4.0
49,2024-10-18,BingeTown,46.0,38.0,41,23.0,41.0,40,24.0,40.0,33,15.0,36.0,33,10.0,36.0,34,15.0,47,38.0,41,23.0,41.0,40,24.0,40.0,33,15.0,36.0,33,10.0,36.0,34,15.0,31.0,38.0,41,23.0,41.0,40,24.0,40.0,33,15.0,36.0,33,10.0,36.0,34,15.0,2.8333333333333335
49,2024-10-18,others,86.0,67.0,81,36.0,47.0,50,15.0,47.0,80,14.0,51.0,107,9.0,56.0,49,6.0,43,67.0,81,36.0,47.0,50,15.0,47.0,80,14.0,51.0,107,9.0,56.0,49,6.0,43.0,67.0,81,36.0,47.0,50,15.0,47.0,80,14.0,51.0,107,9.0,56.0,49,6.0,26.0
49,2024-10-18,BingeNBash,34.0,36.0,36,23.0,30.0,29,10.0,28.0,22,6.0,37.0,29,6.0,29.0,23,7.0,30,36.0,36,23.0,30.0,29,10.0,28.0,22,6.0,37.0,29,6.0,29.0,23,7.0,26.0,36.0,36,23.0,30.0,29,10.0,28.0,22,6.0,37.0,29,6.0,29.0,23,7.0,4.166666666666667
50,2024-10-19,BingeTown,45.0,41.0,40,27.0,40.0,33,17.0,43.0,33,15.0,38.0,34,14.0,38.0,38,14.0,41,41.0,40,27.0,40.0,33,17.0,43.0,33,15.0,38.0,34,14.0,38.0,38,14.0,34.0,41.0,40,27.0,40.0,33,17.0,43.0,33,15.0,38.0,34,14.0,38.0,38,14.0,4.333333333333333
50,2024-10-19,others,77.0,47.0,50,23.0,46.0,80,18.0,52.0,107,13.0,60.0,49,8.0,63.0,64,18.0,81,47.0,50,23.0,46.0,80,18.0,52.0,107,13.0,60.0,49,8.0,63.0,64,18.0,66.0,47.0,50,23.0,46.0,80,18.0,52.0,107,13.0,60.0,49,8.0,63.0,64,18.0,18.0
50,2024-10-19,BingeNBash,38.0,24.0,29,12.0,28.0,22,8.0,36.0,29,7.0,31.0,23,8.0,30.0,30,8.0,36,24.0,29,12.0,28.0,22,8.0,36.0,29,7.0,31.0,23,8.0,30.0,30,8.0,29.0,24.0,29,12.0,28.0,22,8.0,36.0,29,7.0,31.0,23,8.0,30.0,30,8.0,4.666666666666667
51,2024-10-20,others,46.0,51.0,80,28.0,51.0,107,13.0,60.0,49,9.0,58.0,64,16.0,79.0,50,9.0,50,51.0,80,28.0,51.0,107,13.0,60.0,49,9.0,58.0,64,16.0,79.0,50,9.0,30.0,51.0,80,28.0,51.0,107,13.0,60.0,49,9.0,58.0,64,16.0,79.0,50,9.0,22.5
51,2024-10-20,BingeNBash,25.0,31.0,22,11.0,24.0,29,11.0,31.0,23,9.0,29.0,30,10.0,39.0,40,14.0,29,31.0,22,11.0,24.0,29,11.0,31.0,23,9.0,29.0,30,10.0,39.0,40,14.0,19.0,31.0,22,11.0,24.0,29,11.0,31.0,23,9.0,29.0,30,10.0,39.0,40,14.0,4.666666666666667
51,2024-10-20,BingeTown,44.0,38.0,33,21.0,43.0,33,18.0,44.0,34,17.0,38.0,38,14.0,45.0,39,19.0,40,38.0,33,21.0,43.0,33,18.0,44.0,34,17.0,38.0,38,14.0,45.0,39,19.0,30.0,38.0,33,21.0,43.0,33,18.0,44.0,34,17.0,38.0,38,14.0,45.0,39,19.0,5.833333333333333
52,2024-10-21,BingeTown,40.0,39.0,33,21.0,36.0,34,15.0,42.0,38,16.0,42.0,39,23.0,48.0,15,19.0,33,39.0,33,21.0,36.0,34,15.0,42.0,38,16.0,42.0,39,23.0,48.0,15,19.0,26.0,39.0,33,21.0,36.0,34,15.0,42.0,38,16.0,42.0,39,23.0,48.0,15,19.0,9.166666666666666
52,2024-10-21,others,55.0,56.0,107,26.0,52.0,49,15.0,57.0,64,17.0,82.0,50,12.0,63.0,103,14.0,80,56.0,107,26.0,52.0,49,15.0,57.0,64,17.0,82.0,50,12.0,63.0,103,14.0,41.0,56.0,107,26.0,52.0,49,15.0,57.0,64,17.0,82.0,50,12.0,63.0,103,14.0,26.333333333333332
52,2024-10-21,BingeNBash,28.0,24.0,29,14.0,30.0,23,12.0,35.0,30,14.0,39.0,40,14.0,40.0,38,18.0,22,24.0,29,14.0,30.0,23,12.0,35.0,30,14.0,39.0,40,14.0,40.0,38,18.0,14.0,24.0,29,14.0,30.0,23,12.0,35.0,30,14.0,39.0,40,14.0,40.0,38,18.0,4.333333333333333
53,2024-10-22,others,59.0,59.0,49,24.0,63.0,64,28.0,89.0,50,20.0,74.0,103,24.0,50.0,66,9.0,107,59.0,49,24.0,63.0,64,28.0,89.0,50,20.0,74.0,103,24.0,50.0,66,9.0,43.0,59.0,49,24.0,63.0,64,28.0,89.0,50,20.0,74.0,103,24.0,50.0,66,9.0,23.833333333333332
53,2024-10-22,BingeNBash,28.0,26.0,23,12.0,34.0,30,16.0,40.0,40,19.0,40.0,38,21.0,28.0,31,7.0,29,26.0,23,12.0,34.0,30,16.0,40.0,40,19.0,40.0,38,21.0,28.0,31,7.0,22.0,26.0,23,12.0,34.0,30,16.0,40.0,40,19.0,40.0,38,21.0,28.0,31,7.0,2.1666666666666665
53,2024-10-22,BingeTown,46.0,35.0,34,19.0,42.0,38,19.0,44.0,39,30.0,47.0,15,21.0,33.0,34,8.0,33,35.0,34,19.0,42.0,38,19.0,44.0,39,30.0,47.0,15,21.0,33.0,34,8.0,31.0,35.0,34,19.0,42.0,38,19.0,44.0,39,30.0,47.0,15,21.0,33.0,34,8.0,9.333333333333334
54,2024-10-23,BingeNBash,23.0,28.0,30,17.0,39.0,40,23.0,40.0,38,23.0,31.0,31,8.0,30.0,27,8.0,23,28.0,30,17.0,39.0,40,23.0,40.0,38,23.0,31.0,31,8.0,30.0,27,8.0,19.0,28.0,30,17.0,39.0,40,23.0,40.0,38,23.0,31.0,31,8.0,30.0,27,8.0,1.3333333333333333
54,2024-10-23,BingeTown,37.0,38.0,38,21.0,44.0,39,37.0,47.0,15,22.0,34.0,34,10.0,34.0,30,7.0,34,38.0,38,21.0,44.0,39,37.0,47.0,15,22.0,34.0,34,10.0,34.0,30,7.0,26.0,38.0,38,21.0,44.0,39,37.0,47.0,15,22.0,34.0,34,10.0,34.0,30,7.0,7.333333333333333
54,2024-10-23,others,79.0,80.0,64,69.0,92.0,50,66.0,82.0,103,66.0,76.0,66,54.0,77.0,56,51.0,49,80.0,64,69.0,92.0,50,66.0,82.0,103,66.0,76.0,66,54.0,77.0,56,51.0,69.0,80.0,64,69.0,92.0,50,66.0,82.0,103,66.0,76.0,66,54.0,77.0,56,51.0,23.333333333333332
